n,lstate,i,p_error,sim_type,decoder_type,shots,prep_rate,count_accept,LER,prep_rate_SEM,N_samples,prep_rate_SD,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
3,x,2,0.0,m2,val,100,1.0,100,0.0,0.0,1,,0.0,,1.0,0.0,,0,1,20,20,16,1.0,0.0,100,0.0,0,0,0,0.0,0.0029173819984862
3,x,3,0.0,m2,val,100,1.0,100,0.0,0.0,1,,0.0,,1.0,0.0,,1,0,12,12,8,1.0,0.0,100,0.0,0,0,0,0.0,0.0025587050004105
3,x,4,0.0,m2,val,100,1.0,100,0.0,0.0,1,,0.0,,1.0,0.0,,0,1,20,12,16,1.0,0.0,100,0.0,0,0,0,0.0,0.011574637999729
3,x,5,0.0,m2,val,100,1.0,100,0.0,0.0,1,,0.0,,1.0,0.0,,2,-1,4,4,0,1.0,0.0,100,0.0,0,0,0,0.0,0.0028557699988596
3,x,6,0.0,m2,val,100,1.0,100,0.0,0.0,1,,0.0,,1.0,0.0,,0,1,20,12,16,1.0,0.0,100,0.0,0,0,0,0.0,0.013047701000687
3,x,7,0.0,m2,val,100,1.0,100,0.0,0.0,1,,0.0,,1.0,0.0,,1,0,12,4,8,1.0,0.0,100,0.0,0,0,0,0.0,0.0126453289994969
3,x,8,0.0,m2,val,100,1.0,100,0.0,0.0,1,,0.0,,1.0,0.0,,0,1,20,4,16,1.0,0.0,100,0.0,0,0,0,0.0,0.0123206570006004
3,z,2,0.0,m2,val,100,1.0,100,0.0,0.0,1,,0.0,,1.0,0.0,,1,0,12,12,8,1.0,0.0,100,0.0,0,0,0,0.0,0.0131842209993919
3,z,3,0.0,m2,val,100,1.0,100,0.0,0.0,1,,0.0,,1.0,0.0,,0,1,20,12,16,1.0,0.0,100,0.0,0,0,0,0.0,0.0133388480007852
3,z,4,0.0,m2,val,100,1.0,100,0.0,0.0,1,,0.0,,1.0,0.0,,2,-1,4,4,0,1.0,0.0,100,0.0,0,0,0,0.0,0.0032675489983375
3,z,5,0.0,m2,val,100,1.0,100,0.0,0.0,1,,0.0,,1.0,0.0,,0,1,20,12,16,1.0,0.0,100,0.0,0,0,0,0.0,0.0111506140001438
3,z,6,0.0,m2,val,100,1.0,100,0.0,0.0,1,,0.0,,1.0,0.0,,1,0,12,4,8,1.0,0.0,100,0.0,0,0,0,0.0,0.0033077759999287
3,z,7,0.0,m2,val,100,1.0,100,0.0,0.0,1,,0.0,,1.0,0.0,,0,1,20,4,16,1.0,0.0,100,0.0,0,0,0,0.0,0.0020633200001611
3,z,8,0.0,m2,val,100,1.0,100,0.0,0.0,1,,0.0,,1.0,0.0,,0,1,20,-4,16,1.0,0.0,100,0.0,0,0,0,0.0,0.0001806780001061
4,x,2,0.0,m2,val,200,1.0,200,0.0,0.0,1,,0.0,,1.0,0.0,,0,2,56,56,48,1.0,0.0,200,0.0,0,0,0,0.0,0.0458126669982447
4,x,2,0.0001,m1,anqi,125000000,0.988216304,123527038,0.0,0.0,1,,0.0,,0.988216304,0.0,,0,2,56,56,48,1.0,0.0,123527038,0.0,0,0,0,0.0,589.5564024670748
4,x,2,0.0001,m1,val,771900000,0.98821696473568,762820006,0.0,3.9130881932746274e-05,2,2.8234399967811273e-05,0.0,0.0,0.98821696473568,3.9130881932746274e-05,2.8234399967811273e-05,0,2,56,56,48,1.0,0.0,762820006,0.0,0,0,0,2.047767397947609,1651.4150116722512
4,x,2,0.0001,m2,val,1052400000,0.9921359690916355,1038636368,0.0,0.0,1,,0.0,,0.9869216723679209,0.0,,0,2,56,56,48,0.9975743259363213,0.0,1038636368,0.0,0,5531022,0,0.0,594.5037473256234
4,x,2,0.0001,normal,anqi,126000000,0.986223261904762,124264131,0.0,0.0,1,,0.0,,0.986223261904762,0.0,,0,2,64,64,64,1.0,0.0,124264131,0.0,0,0,0,0.0,6986.212239325279
4,x,2,0.0001,normal,val,772900000,0.9861972222150064,762256033,0.0,6.184887474569467e-05,2,4.4626284430038884e-05,0.0,0.0,0.9861972222150064,6.184887474569467e-05,4.4626284430038884e-05,0,2,64,64,64,1.0,0.0,762256033,0.0,0,0,0,14.848790252115576,32028.395172694098
4,x,2,0.0005,m1,val,769900000,0.9425547265878685,725672884,0.0,0.0,1,,0.0,,0.9425547265878685,0.0,,0,2,56,56,48,1.0,0.0,725672884,0.0,0,0,0,3.002606811001897,3442.161929685056
4,x,2,0.0005,m2,val,1052400000,0.9612628236691685,985341177,0.0,0.0,1,,0.0,,0.9362800997719498,0.0,,0,2,56,56,48,0.9880048539601789,0.0,985341177,0.0,0,27351332,0,0.0,1220.329233828932
4,x,2,0.0005,normal,val,770000000,0.9330547012987013,718452120,0.0,0.0,1,,0.0,,0.9330547012987013,0.0,,0,2,64,64,64,1.0,0.0,718452120,0.0,0,0,0,93.44471625518054,42971.08681187001
4,x,2,0.001,m1,anqi,92419000000,0.8884291753572814,82108025725,6.229952434211492e-12,6.435414145680163e-06,2,4.643392838932935e-06,1.2210706771054524e-11,8.81048322540117e-12,0.8884291753517466,6.4354032973190644e-06,4.643385011433243e-06,0,2,56,56,48,1.0,0.0,82108025725,1.0,0,0,0,0.0,1200248.4876047135
4,x,2,0.001,m1,val,33579900000,0.8884329434870265,29833489399,2.027922352322217e-09,0.0,1,,0.0,,0.8884329416853535,0.0,,0,2,56,56,48,1.0,0.0,29833489399,0.0,121,0,0,5.826127861626446,139979.5391090476
